NAME	cluster dominant cell type	X	Y
TYPE	group	numeric	numeric
4	CD4+ T cell	0.1539098240575687	-3.485095424563587
5	CD4+ T cell	2.08220027630383	0.3455766529361225
6	CD8+ CXCR4+ T cell	-5.066040470807768	3.132762341865362
7	CD8+ CXCR4+ T cell	-3.731335086496868	3.5191613779732482
8	CD4+ T cell	2.648313557463382	0.6250457863712464
9	CD16+ NK cell	-7.285057973269346	-0.6339142099482411
10	CD8+ CXCR4+ T cell	-3.129631745710923	2.384095466293115
11	CD8+ CXCR4+ T cell	0.0403220379243443	1.074970798272546
12	CD4+ T cell	2.5692319285151717	-0.9635589120342987
13	CD8+ CXCR4+ T cell	2.2295052227819294	1.6315497453886505
14	CD8+ GNLY+ T cell	-5.699261730026995	1.3940215597907215
15	CD8+ CXCR4+ T cell	0.7774756842420063	-0.891852048040175
16	CD8+ CXCR4+ T cell	0.8654207521967618	-0.8358278891090494
17	CD4+ T cell	2.7727860499863546	-0.07240605032167058
19	CD8+ GNLY+ T cell	-5.510148464443011	-1.9598601901932307
20	CD8+ GNLY+ T cell	-6.06404594563947	-0.30201689674659465
22	CD8+ CXCR4+ T cell	-4.973017321122104	2.221692806728526
23	CD8+ PD1+ T cell	-1.6605181705870518	0.8635477199247152
25	CD8+ GNLY+ T cell	-6.231314604003386	-1.4296486472154208
26	CD4+ T cell	0.3101168749070433	-2.338698707926175
27	CD4+ T cell	3.146198901508912	-4.271768968447558
28	CD4+ T cell	2.007315181296727	-0.15161635681286367
30	CD8+ GNLY+ T cell	-6.137340921261354	0.47524480336621466
31	CD4+ T cell	1.7578976233626313	-1.6542966099623226
32	CD4+ T cell	2.2619793202789706	0.33235370063860104
34	CD4+ T cell	2.643891093416136	0.9269921665179379
35	CD8+ CXCR4+ T cell	-0.04252741236913726	-0.5424505200230414
36	CD8+ CXCR4+ T cell	-3.1152511099674842	3.04498670214048
37	CD8+ CXCR4+ T cell	-5.205728324243255	3.1555527797143834
38	CD4+ T cell	2.8078338346221248	0.027390657752101255
39	CD4+ T cell	1.9009122147756654	-0.6434178883849069
40	CD4+ T cell	3.577529814163939	-4.624096232676989
41	CD4+ T cell	4.9166390883919595	-3.8623159388037083
42	CD8+ CXCR4+ T cell	-4.76460698517416	3.2323176614855464
43	CD4+ T cell	0.9794060906962565	-3.326199054026418
44	CD4+ T cell	1.3461676210484492	-0.47627066956912784
45	CD4+ T cell	4.862946749099095	-3.615525593775728
46	CD8+ GNLY+ T cell	-2.8035446284333894	0.5571860174384575
47	CD4+ T cell	0.6839076611747557	-1.9937521653257975
48	CD8+ CXCR4+ T cell	-3.225117292491879	3.3578675128409357
50	CD4+ T cell	3.2606203579309687	-4.498896952015782
51	CD8+ CXCR4+ T cell	-3.6953272427387516	3.173001364945525
52	CD4+ T cell	3.9784412407607244	-3.1686089706762846
53	CD8+ CXCR4+ T cell	0.3892213560322919	-2.883973964528481
54	CD8+ CXCR4+ T cell	-4.161532133547671	3.1416779823583587
55	CD4+ T cell	5.1078151041315385	-3.7023106772262
56	CD8+ GNLY+ T cell	-2.221362811123802	0.6800156643076279
57	CD4+ T cell	3.6321187047032506	-1.3662277502913205
58	CD4+ T cell	4.622699315171927	-3.912957722840323
59	CD4+ T cell	2.6978555101643025	-1.087076026192757
60	CD8+ CXCR4+ T cell	-3.3249044338887117	3.5624810467974393
61	CD4+ T cell	2.0886677472698523	0.7446596994415142
62	CD4+ T cell	5.162480811033836	-3.5786711474685733
63	CD4+ T cell	2.2248657655772437	-2.74875128103374
65	CD4+ T cell	2.6128365147347683	-1.7556383115300631
66	CD8+ GNLY+ T cell	-5.284006391956174	1.8752746604133874
67	CD8+ CXCR4+ T cell	-4.78490493511811	2.8651889313787127
68	CD4+ T cell	2.462663894850687	1.7632731232857919
69	CD4+ T cell	1.9564843437345665	1.4100142621021785
70	CD4+ T cell	1.6321760901040767	0.968964362793935
71	CD4+ T cell	2.373526635302733	1.5233415189116692
72	CD4+ T cell	4.337630511209315	-3.1568283895411913
73	CD16+ NK cell	-6.222693790549276	-0.46425248685499493
74	CD8+ GNLY+ T cell	-5.973438734683941	-1.830918075331572
75	CD4+ T cell	2.800403110550028	-0.2209209088801794
76	CD4+ T cell	4.141977626804779	-4.262546493962352
77	CD4+ T cell	3.1012966965541358	-2.9326375040795023
78	CD4+ T cell	1.5212641950782555	-1.9496489565019457
79	CD8+ CXCR4+ T cell	-4.342471956503813	3.224210585711984
80	CD8+ PD1+ T cell	-1.8275729879835556	0.7566943551660115
81	CD4+ T cell	1.2225694700257168	-0.32000735618091875
82	CD8+ GNLY+ T cell	-5.783803742898901	1.3368470226463127
83	CD4+ T cell	5.359569884755198	-0.89074100594779
84	CD4+ T cell	2.108536437972469	-1.1065593412563788
85	CD8+ CXCR4+ T cell	-3.0193673110970907	3.255026317551249
86	CD8+ CXCR4+ T cell	-2.214955390199726	3.5945560940615904
87	CD4+ T cell	5.0640416215170925	-2.1782024643012456
88	CD8+ CXCR4+ T cell	-5.160052345988099	3.1962604036837643
89	CD8+ CXCR4+ T cell	-5.713204044632447	1.890329926421097
90	CD16+ NK cell	-6.563606441598999	-1.6914551590166516
91	CD8+ GNLY+ T cell	-5.7067521980402995	-1.0155181826452555
92	CD8+ CXCR4+ T cell	-1.4039847002193357	2.096246543397887
93	CD4+ T cell	2.7033932944706622	-1.4778020581664328
94	CD8+ CXCR4+ T cell	-0.2715487347670569	-0.0707798387587188
95	CD8+ CXCR4+ T cell	-2.945214843106273	2.530948315412854
